Name,Price,Time
Gold 24K,264103000.0,2026-05-14 18:34:48
Gold 18K,198079000.0,2026-05-14 18:35:11
Dollar,1804000.0,2026-05-14 18:35:35
Euro,2118300.0,2026-05-14 18:35:59
Gold 24K,264103000.0,2026-05-14 19:07:33
Gold 18K,198079000.0,2026-05-14 19:07:36
Dollar,1804000.0,2026-05-14 19:07:41
Euro,2118300.0,2026-05-14 19:07:45
Gold 24K,264103000.0,2026-05-14 19:11:06
Gold 18K,198079000.0,2026-05-14 19:11:10
Dollar,1804000.0,2026-05-14 19:11:13
Euro,2118300.0,2026-05-14 19:11:17
Gold 24K,264103000.0,2026-05-14 19:18:31
Gold 18K,198079000.0,2026-05-14 19:18:35
Dollar,1804000.0,2026-05-14 19:18:38
Euro,2118300.0,2026-05-14 19:18:42
Gold 24K,264103000.0,2026-05-14 19:19:06
Gold 18K,198079000.0,2026-05-14 19:19:11
Dollar,1804000.0,2026-05-14 19:19:14
Euro,2118300.0,2026-05-14 19:19:16
Gold 24K,264103000.0,2026-05-14 19:30:12
Gold 18K,198079000.0,2026-05-14 19:30:17
Dollar,1804000.0,2026-05-14 19:30:23
Euro,2118300.0,2026-05-14 19:30:26
